x_pos,y_pos,p_flag,volts,weights
-365.77,-455.03,1,3.37463,4
822.63,-121.48,1,3.94387,6
676.75,27.38,1,4.77783,10
423.91,810.75,0,2.72723,10
191.36,51.04,0,2.68549,10
152,884,1,4.13776,7
86.11,650.68,1,3.96387,6
-541.53,-450.94,0,2.35695,10
820.16,-267.46,1,4.77783,10
-548.91,81.52,0,2.9787,10
919.19,981.74,1,3.90599,6
730.21,-438.43,0,2.66688,10
-599.58,-984.25,0,2.21312,9
517.16,-920.53,1,4.47334,8
155.21,197.5,0,2.54823,10
450.47,-67.37,0,2.91262,10
790.97,-979.3,0,2.365,10
351.95,-991.57,1,4.30156,8
-979.49,340.09,1,3.28294,4
427.17,365.03,0,2.48184,10
956.86,608.15,0,2.02288,9
-567.45,603.32,1,4.46469,8
584.72,-418.95,1,4.2336,7
-612.31,-887.15,0,2.72886,10
878.53,209.87,0,2.30271,10
431.63,943.64,1,4.31316,8
88.78,55.72,1,3.376,4
873.76,514.18,1,4.60662,9
-517.65,-250.73,0,2.59602,10
244.89,298.73,0,2.03787,9
278.1,778.31,1,4.39107,8
226.66,-644.36,0,2.09489,9
-264.02,-109.47,0,2.96627,10
-703.38,-345.83,0,2.92884,10
748.83,989.73,0,1.93346,8
430.92,-671.05,1,4.60181,9
720.86,994.36,0,2.64059,10
-430.66,468.18,1,3.8516,6
757.31,278.44,0,1.86571,8
927.64,-409.54,1,4.77783,10
-225.73,-856.97,1,4.17916,7
339.97,-462.91,1,3.92198,6
304.85,-152.34,0,2.83386,10
262.65,-667.31,0,2.94052,10
980.83,203.89,1,4.76814,10
52.99,787.68,1,4.39149,8
-406.18,145.27,0,1.85759,8
633.94,923.24,0,2.15623,9
404.65,504.06,0,2.03223,9
-150.59,38.21,0,2.83239,10
-945.73,394.11,1,4.24004,7
878.61,846.03,1,3.28476,4
-225.36,-471.47,0,1.77315,8
153.51,118.5,0,1.78682,8
-54.62,333.94,0,2.97686,10
-176.98,-523.98,1,3.81156,6
238.96,174.33,0,2.88911,10
562.44,753.72,0,2.04034,9
131.87,-397.76,1,3.19396,3
667.51,-253.08,1,3.5267,5
940.34,940.42,1,3.47004,4
-589.77,287.73,0,2.93557,10
620.41,-251.6,0,2.61631,10
-322.15,-24.05,1,3.84485,6
-764.87,107.01,0,2.52778,10
-178.86,-979.62,0,1.77675,8
-934.92,677.78,1,4.61401,9
-704.84,-589.92,0,2.85192,10
672.15,-444.28,0,2.00259,9
-120.18,-558.87,0,2.94662,10
238.01,-773.07,0,2.50188,10
645.27,-170.9,1,4.77783,10
-115.18,958.94,1,3.64635,5
-412.26,136.22,0,2.13643,9
726.34,-861.14,0,2.06952,9
264.66,-91.54,0,2.73233,10
534.77,-996.88,1,4.33114,8
524.28,-524.2,0,2.06301,9
-435.24,-3.63,0,2.96694,10
-615.27,893.5,1,4.77783,10
-482.99,585.68,1,4.77783,10
47.31,183.04,1,3.37882,4
-391.31,-58.92,1,3.38246,4
17.8,-161.06,0,2.94446,10
-639.23,-27.7,0,2.832,10
-848.3,848.65,1,3.42388,4
-735.69,-136.83,0,2.18447,9
-210.93,260.35,1,4.61104,9
-178.63,332.37,0,2.85983,10
465.77,147.9,0,2.73709,10
-659.77,-786.91,1,4.0605,7
464.39,381.39,0,2.49152,10
860.91,-30.53,1,4.24275,7
951.79,386.2,1,4.56343,9
-878.84,705.44,1,4.58369,9
388.04,-317.79,0,2.90869,10
